Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000052,Cornwall,7,Aged 50 to 64 years,124298
E06000052,Cornwall,8,Aged 65 to 74 years,77789
E06000052,Cornwall,9,Aged 75 years and over,66350
E06000053,Isles of Scilly,1,Aged 4 years and under,96
E06000053,Isles of Scilly,2,Aged 5 to 9 years,107
E06000053,Isles of Scilly,3,Aged 10 to 15 years,121
E06000053,Isles of Scilly,4,Aged 16 to 24 years,109
E06000053,Isles of Scilly,5,Aged 25 to 34 years,215
E06000053,Isles of Scilly,6,Aged 35 to 49 years,377
E06000053,Isles of Scilly,7,Aged 50 to 64 years,449
E06000053,Isles of Scilly,8,Aged 65 to 74 years,277
E06000053,Isles of Scilly,9,Aged 75 years and over,303
E06000054,Wiltshire,1,Aged 4 years and under,25629
E06000054,Wiltshire,2,Aged 5 to 9 years,29544
E06000054,Wiltshire,3,Aged 10 to 15 years,36046
E06000054,Wiltshire,4,Aged 16 to 24 years,45843
E06000054,Wiltshire,5,Aged 25 to 34 years,59523
E06000054,Wiltshire,6,Aged 35 to 49 years,93589
E06000054,Wiltshire,7,Aged 50 to 64 years,108635
E06000054,Wiltshire,8,Aged 65 to 74 years,58700
E06000054,Wiltshire,9,Aged 75 years and over,52827
E06000055,Bedford,1,Aged 4 years and under,11163
E06000055,Bedford,2,Aged 5 to 9 years,11742
E06000055,Bedford,3,Aged 10 to 15 years,14202
E06000055,Bedford,4,Aged 16 to 24 years,18087
E06000055,Bedford,5,Aged 25 to 34 years,25432
E06000055,Bedford,6,Aged 35 to 49 years,38533
E06000055,Bedford,7,Aged 50 to 64 years,35042
E06000055,Bedford,8,Aged 65 to 74 years,16716
E06000055,Bedford,9,Aged 75 years and over,14308
E06000056,Central Bedfordshire,1,Aged 4 years and under,17805
E06000056,Central Bedfordshire,2,Aged 5 to 9 years,18521
E06000056,Central Bedfordshire,3,Aged 10 to 15 years,21166
E06000056,Central Bedfordshire,4,Aged 16 to 24 years,25455
E06000056,Central Bedfordshire,5,Aged 25 to 34 years,39158
